type,text,question
correct,"Globální data o počasí","Posbírej jen big data."
correct,"Celosvětové finanční transakce",
correct,"Denní snímky ze satelitů",
correct,"Záznamy o klikání na e-shopu",
correct,"Data o vyhledávání na Googlu",
correct,"Všechny playlisty na Spotify",
correct,"Miliony knih v PDF",
correct,"Historie sledování na Netflixu",
correct,"GPS data z dopravy",
correct,"Data o lajcích na Instagramu",
incorrect,"Excel s 5000 řádky",
incorrect,"Tvůj disk s filmy",
incorrect,"Rozvrhy hodin ve tvé škole",
incorrect,"Knihovna plná tištěných knih",
incorrect,"Archiv filmových cívek",
incorrect,"Účetnictví jedné firmy",
incorrect,"Databáze školní knihovny",
incorrect,"Celá tvá galerie v mobilu",
incorrect,"Fotky z dovolené v ZIP",
